,Name,Current,24h Peak,All-Time Peak,developer,publisher,original_price,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7,Genre8,Genre9,Genre10,Genre11,Genre12,Genre13,PopTag1,PopTag2,PopTag3,PopTag4,PopTag5,PopTag6,PopTag7,PopTag8,PopTag9,PopTag10,PopTag11,PopTag12,PopTag13,PopTag14,PopTag15,PopTag16,PopTag17,PopTag18,PopTag19,PopTag20,_merge
2,Baldur's Gate 3,"178,108","284,503","875,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
4,Apex Legends,"146,867","397,605","624,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
5,PUBG: BATTLEGROUNDS,"127,923","382,200","3,257,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
6,NARAKA: BLADEPOINT,"86,125","217,063","264,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
7,Starfield,"76,233","129,187","330,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
8,Source SDK Base 2007,"63,806","162,712","213,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
13,Tom Clancy's Rainbow Six Siege,"42,921","72,114","201,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
14,Call of Duty®,"41,348","62,744","491,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
19,VPet,"31,515","43,621","85,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
20,Sid Meier's Civilization VI,"29,306","48,306","162,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
21,MIR4,"28,199","29,634","97,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
22,Lost Ark,"27,867","45,824","1,325,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
26,Red Dead Redemption 2,"23,586","46,747","70,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
27,Football Manager 2023,"23,486","58,408","83,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
31,PAYDAY 3,"21,803","38,574","77,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
32,Party Animals,"21,598","55,240","104,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
35,The Sims™ 4,"18,577","28,630","96,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
37,tModLoader,"17,937","31,530","41,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
40,Resident Evil 4,"16,829","31,918","168,191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
43,Rocket League,"16,061","38,830","147,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
44,Yu-Gi-Oh! Master Duel,"16,039","25,998","262,689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
45,ELDEN RING,"15,982","26,551","953,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
46,Monster Hunter: World,"15,924","36,168","334,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
47,Black Desert,"15,363","22,497","60,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
48,The First Descendant Crossplay Beta,"14,759","26,632","77,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
50,Phasmophobia,"14,577","32,617","112,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
51,Farlight 84,"14,351","26,061","41,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
52,Overwatch® 2,"14,296","27,818","75,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
54,Mortal Kombat 1,"13,483","19,660","38,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
55,Hero's Land,"13,392","14,218","17,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
58,Cookie Clicker,"11,952","15,786","67,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
59,Valheim,"11,517","26,515","502,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
60,EA SPORTS™ FIFA 23,"11,162","28,941","110,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
61,New World,"10,864","22,508","913,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
65,Total War: WARHAMMER III,"10,288","20,487","166,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
66,Street Fighter™ 6,"10,229","24,815","70,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
67,Sid Meier's Civilization V,"10,046","17,328","91,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
69,Age of Empires II: Definitive Edition,"9,837","17,682","38,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
70,MONSTER HUNTER RISE,"9,723","21,899","231,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
74,Mount & Blade II: Bannerlord,"9,369","19,144","248,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
75,State of Decay 2,"9,342","20,138","22,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
77,SMITE,"9,188","13,598","31,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
78,Spacewar,"8,876","32,395","78,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
80,ARMORED CORE™ VI FIRES OF RUBICON™,"8,670","16,626","156,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
81,NBA 2K23,"8,548","17,274","59,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
83,Lies of P,"8,272","14,741","19,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
84,Farming Simulator 22,"8,263","37,116","105,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
87,Titanfall® 2,"7,924","10,747","27,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
93,Plants vs. Zombies: Game of the Year,"7,387","11,484","16,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
94,雀魂麻将(MahjongSoul),"7,302","17,060","35,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
95,Crusader Kings III,"7,202","14,543","98,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
96,The Elder Scrolls Online,"7,181","13,748","49,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
99,Hunt: Showdown,"6,533","18,671","45,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
102,Call of Duty: Black Ops III,"6,445","9,201","63,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
103,BattleBit Remastered,"6,444","10,677","87,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
104,Paladins,"6,219","8,955","60,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
